ImageId,EncodedPixels
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,57094 7 57348 10 57602 13 57857 14 58113 14 58369 15 58625 15 58881 15 59137 15 59393 15 59649 14 59905 13 60161 11 60417 9 60673 8 60929 7
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,32783 2 33037 8 33293 10 33548 11 33804 12 34060 12 34316 12 34573 10 34829 10 35086 7
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,25654 6 25909 9 26164 11 26420 11 26676 12 26932 12 27188 12 27444 12 27700 12 27957 10 28214 9 28472 5
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,29037 7 29291 11 29546 14 29802 15 30058 16 30314 16 30570 16 30826 16 31083 15 31340 14 31597 13 31855 9 32115 2
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,62062 10 62316 14 62571 16 62826 17 63082 17 63338 17 63594 17 63850 17 64107 15 64364 12 64624 5
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,51835 8 52089 11 52344 13 52599 14 52854 16 53110 16 53366 16 53622 15 53878 15 54134 14 54391 12 54649 8
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,18299 8 18553 13 18808 15 19064 16 19320 17 19576 17 19832 17 20088 17 20345 16 20601 15 20858 13 21115 10
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,42370 10 42624 16 42879 19 43135 20 43390 23 43646 23 43902 24 44158 24 44415 23 44672 22 44928 21 45185 19 45443 15 45701 10 45961 2
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,4521 9 4775 13 5030 15 5286 16 5542 17 5797 19 6053 20 6309 21 6565 21 6822 21 7078 21 7335 20 7591 20 7848 19 8105 18 8362 17 8619 16 8877 14 9136 11 9397 5
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,64466 9 64721 13 64976 15 65231 17 65487 17
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,206342 5 206851 12 207362 15 207873 17 208385 18 208897 19 209409 20 209921 20 209958 7 210433 21 210469 10 210945 22 210981 12 211457 22 211492 14 211969 23 212004 17 212481 24 212516 20 212993 25 213028 22 213505 26 213540 23 214017 26 214052 24 214529 26 214564 25 215041 27 215076 26 215553 27 215588 26 216065 27 216100 27 216577 27 216612 27 217089 27 217124 27 217601 28 217636 28 218113 28 218148 28 218625 28 218660 28 219137 28 219172 28 219649 28 219684 28 220161 29 220197 27 220673 29 220709 27 221185 29 221222 26 221697 29 221734 26 222209 30 222247 25 222721 31 222759 25 223233 32 223273 24 223745 34 223789 20 224257 36 224303 18 224769 36 224816 17 225281 37 225326 19 225793 38 225836 21 226305 64 226817 64 227329 64 227841 64 228353 64 228865 64 229377 64 229889 64 230401 64 230913 64 231425 63 231937 63 232449 63 232961 63 233473 62 233985 61 234497 61 235009 60 235521 60 236033 59 236545 28 236578 25 237057 26 237092 23 237569 24 237606 20 238081 22 238119 19 238594 20 238632 17 239109 3 239146 13 239660 9 240173 5
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,319012 6 319520 11 320030 14 320539 18 321049 20 321559 23 322070 24 322581 25 323092 26 323603 28 324115 28 324626 29 325137 30 325649 30 326158 33 326669 33 327181 33 327692 34 328203 35 328714 36 329226 35 329737 36 330249 35 330761 34 331273 33 331785 29 332297 26 332808 27 333320 26 333832 26 334343 26 334855 25 335367 25 335879 25 336390 11 336403 12 336902 10 336916 11 337413 10 337429 10 337925 9 337941 10 338437 9 338454 9 338949 9 338966 9 339461 9 339479 8 339973 8 339991 8 340485 8 340503 9 340997 8 341015 9 341509 8 341526 10 342021 8 342038 10 342533 9 342547 13 343046 26 343558 25 344071 24 344584 23 345096 23 345610 21 346123 20 346634 19 347145 19 347659 14
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,17 13 527 16 1038 17 1550 17 2062 17 2574 17 3085 18 3597 19 4109 19 4621 19 5133 19 5644 21 6156 21 6668 21 7179 22 7691 22 8203 22 8715 22 9227 22 9739 22 10250 23 10762 23 11274 23 11786 23 12298 23 12810 23 13322 22 13834 22 14346 21 14858 20 15370 19 15882 18 16394 17 16905 17 17417 17 17929 17 18441 17 18953 18 19465 18 19977 18 20489 18 21001 18 21513 18 22025 18 22537 18 23049 17 23561 17 24074 15 24587 13 25099 12 25612 9 26125 6
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,256048 1 256556 8 257067 10 257577 13 258082 21 258589 26 259097 31 259608 32 260120 33 260631 34 261142 36 261653 38 262165 38 262677 39 263188 40 263700 14 263716 24 264212 12 264230 23 264724 11 264742 23 265236 10 265254 23 265748 9 265766 23 266260 9 266277 24 266771 9 266789 24 267283 8 267300 25 267795 8 267811 26 268307 8 268323 26 268819 8 268834 27 269331 8 269345 28 269843 9 269856 29 270355 9 270367 30 270867 42 271380 41 271892 41 272405 40 272917 39 273429 39 273941 38 274453 37 274966 35 275478 35 275991 33 276503 32 277016 29 277529 26 278041 25 278554 23 279067 21 279580 19 280094 14 280607 11 281121 6
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,299584 3 300094 7 300604 11 301115 13 301626 15 302135 19 302646 21 303156 23 303667 25 304177 27 304686 31 305196 33 305708 33 306219 34 306731 34 307242 35 307754 35 308266 34 308778 34 309291 32 309803 31 310315 29 310827 28 311339 27 311851 26 312364 23 312877 21 313390 19 313903 17 314416 15 314929 7
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,571 6 1083 6 1596 4 2109 1
